user_id,deviceId,timestamp,hour,rawData,encryptedParam
1,4IFrXZoZSAJzgtq5,1745052947699,4,1745052947699@PWA4IFrXZoZSAJzgtq5,907c95f930198f95c667e0e672430b426e4a49243b25d5fc4a7950429ea008dadbd37e398a4eb263b05f136c52fb2921
1,4IFrXZoZSAJzgtq5,1745053136699,4,1745053136699@PWA4IFrXZoZSAJzgtq5,1a8a4901110e5e15b341d1292245670f17995a6e3b79413cae506e301d779a14ed46345f4d0e05e1f7a9e594b55d92a8
1,4IFrXZoZSAJzgtq5,1745063565699,7,1745063565699@PWA4IFrXZoZSAJzgtq5,9d9f01140890a2835b3cdd7be8812ef4a8df063a8cedef3ddc39e9f6b7f4dce3e61085c3981c79c77aba256469f3a95d
1,4IFrXZoZSAJzgtq5,1745055476699,5,1745055476699@PWA4IFrXZoZSAJzgtq5,ff1bacecb235ce678f59871866f4a7bb49b2ef7299c3ea16d3784ed09a07ca1ad4f87477598b21449b2d046c83b6cf6d
1,4IFrXZoZSAJzgtq5,1745054992699,5,1745054992699@PWA4IFrXZoZSAJzgtq5,63a7c0cfdb3882085b702ae3c8c52a06395773a9f1d4a3ca3e94e84f37d6d50fe535e99b929241ea6e4d71910ae34386
1,4IFrXZoZSAJzgtq5,1745007142699,16,1745007142699@PWA4IFrXZoZSAJzgtq5,f7f88674441aa21efdf46269dcc76b26a2596aba4466eb0000a953fa664185fdf6b449562ba3ef80c006fa8016dae810
1,4IFrXZoZSAJzgtq5,1745061641699,7,1745061641699@PWA4IFrXZoZSAJzgtq5,414521285d86bf60c0ce1f9f6467819c87ca3d83b90e7d13526b0344ec2dec2b6b21ff03c17ab6114ca37b7f9db2d50e
1,4IFrXZoZSAJzgtq5,1745024286699,20,1745024286699@PWA4IFrXZoZSAJzgtq5,2f209555a11bf740aeafc0a8b262548b0174045b88779d9f2033b7a3ccd13fdf3399f502b9d1f17f695074a0983d730d
1,4IFrXZoZSAJzgtq5,1745013767699,18,1745013767699@PWA4IFrXZoZSAJzgtq5,69cf8a119850b4f2c69d646d1869f8f4a2d16ddcad265dcce23f4f2fad22e6495ecfd88bf8a40f20b96c9cb62a423e77
1,4IFrXZoZSAJzgtq5,1745046263699,3,1745046263699@PWA4IFrXZoZSAJzgtq5,e783d8cbd322a33fcb9b36dafe23900b5ebecf8c1e3c739e5a18addfc2c43d3280f1e2b8f5df1822c0e51ee56129459b
1,4IFrXZoZSAJzgtq5,1745054244699,5,1745054244699@PWA4IFrXZoZSAJzgtq5,e213149aa572c768704c093d1e040b180b2aac14f3fd28ba0008d55d43329e9acfe270de04cbf1958dcd7f81ff237b8a
1,4IFrXZoZSAJzgtq5,1745042453699,2,1745042453699@PWA4IFrXZoZSAJzgtq5,7cfe90d524fe5cc7543fad88ff4912659edb339ba4ffd6e3f147aa870fd9b741f1b4fda8cdb0d2cf391a6160ea11e262
1,4IFrXZoZSAJzgtq5,1745020487699,19,1745020487699@PWA4IFrXZoZSAJzgtq5,e02399b211ced433b339435f54861dde4afdea99603bb67e537f82322d2f1fb5267da643181a8ac9a74df52d979ffce7
1,4IFrXZoZSAJzgtq5,1745032897699,23,1745032897699@PWA4IFrXZoZSAJzgtq5,e20e0005503de38f06fad95d7df7a1542829313e6cae9e7c4299785dc61355dcc5d3fca9349c310dd90f43a84704608b
1,4IFrXZoZSAJzgtq5,1745015005699,18,1745015005699@PWA4IFrXZoZSAJzgtq5,42a705fb776549badcc05d80b11e6074af813f3c255d00c2ff76d9ee48d17744ce3026cae1aea2f6ef90c122b89c44b8
1,4IFrXZoZSAJzgtq5,1745058783699,6,1745058783699@PWA4IFrXZoZSAJzgtq5,2677c83b2b6767823e77295bc9eaf5564dae2bde9e3adf0dca0ef4c3f15eefd9ea0c0363b4eba0f727c5932146b9424d
1,4IFrXZoZSAJzgtq5,1745042994699,2,1745042994699@PWA4IFrXZoZSAJzgtq5,5d29954cfbf4d2d1df904849c004a171865f847bebd9ad076c640b7079ba390b8a45b5c9632fa2eed9df543422d5a5a3
1,4IFrXZoZSAJzgtq5,1745053107699,4,1745053107699@PWA4IFrXZoZSAJzgtq5,e2428e701758b6c5336e140febde5bbaf2e6c312174fc389a6156d5208c2ea59b91ba0ab1706a28df4e039b21e191d40
1,4IFrXZoZSAJzgtq5,1745070450699,9,1745070450699@PWA4IFrXZoZSAJzgtq5,5de916305ae4e2b5c5ea7c1ed151d7e70fa5e2ddfe75a7348a6c61e365092c50fcfd59e9f8a4541451ffad21ae651a7d
1,4IFrXZoZSAJzgtq5,1745013220699,17,1745013220699@PWA4IFrXZoZSAJzgtq5,b502c1adbb41476c0fc7d1d217bf6d0c101b216e5dfe102346dd7b1a3fa7190621866351c9165c3f1ed9f398ffe1bba2
