deviceID,timestamp,response_status,response_message,raw_response
YAxhTHul26gN03ih,1744412069630,200,Success,"{'message': 'Success', 'quote': 'It does not matter how slowly you go as long as you do not stop.', 'writer': 'Confucius'}"
YAxhTHul26gN03ih,1744412069630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412069630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412069630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412069630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412079630,200,Success,"{'message': 'Success', 'quote': 'I attribute my success to this: I never gave or took any excuse.', 'writer': 'Florence Nightingale'}"
YAxhTHul26gN03ih,1744412079630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412079630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412079630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412079630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412092630,200,Success,"{'message': 'Success', 'quote': ""Life is what happens when you're busy making other plans."", 'writer': 'John Lennon'}"
YAxhTHul26gN03ih,1744412092630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412092630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412092630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412092630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412097630,200,Success,"{'message': 'Success', 'quote': 'The best way to predict the future is to create it.', 'writer': 'Peter Drucker'}"
YAxhTHul26gN03ih,1744412097630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412097630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412097630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412097630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412118630,200,Success,"{'message': 'Success', 'quote': 'Turn your wounds into wisdom.', 'writer': 'Oprah Winfrey'}"
YAxhTHul26gN03ih,1744412118630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412118630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412118630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412118630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412132630,200,Success,"{'message': 'Success', 'quote': 'To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.', 'writer': 'Ralph Waldo Emerson'}"
YAxhTHul26gN03ih,1744412132630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412132630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412132630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412132630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412158630,200,Success,"{'message': 'Success', 'quote': 'Your time is limited, so don’t waste it living someone else’s life.', 'writer': 'Steve Jobs'}"
YAxhTHul26gN03ih,1744412158630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412158630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412158630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412158630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412174630,200,Success,"{'message': 'Success', 'quote': 'Do not go where the path may lead, go instead where there is no path and leave a trail.', 'writer': 'Ralph Waldo Emerson'}"
YAxhTHul26gN03ih,1744412174630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412174630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412174630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412174630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412193630,200,Success,"{'message': 'Success', 'quote': 'Success is not in what you have, but who you are.', 'writer': 'Bo Bennett'}"
YAxhTHul26gN03ih,1744412193630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412193630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412193630,400,Already Existing Data,{'error': 'Already Existing Data'}
YAxhTHul26gN03ih,1744412193630,400,Already Existing Data,{'error': 'Already Existing Data'}
