deviceID,timestamp,distribution
device_1,2025-01-24 08:52:46,normal
device_1,2025-01-24 08:21:34,normal
device_1,2025-01-24 01:18:31,normal
device_1,2025-01-24 12:20:04,normal
device_1,2025-01-24 13:47:31,normal
device_1,2025-01-24 16:34:33,normal
device_1,2025-01-24 23:59:59,normal
device_1,2025-01-24 18:17:10,normal
device_1,2025-01-24 07:03:11,normal
device_1,2025-01-24 16:18:24,normal
device_1,2025-01-24 09:32:22,normal
device_1,2025-01-24 06:39:56,normal
device_1,2025-01-24 13:17:43,normal
device_1,2025-01-24 10:14:23,normal
device_1,2025-01-24 09:57:47,normal
device_1,2025-01-24 20:46:52,normal
device_1,2025-01-24 14:25:59,normal
device_1,2025-01-24 09:54:18,normal
device_1,2025-01-24 02:51:04,normal
device_1,2025-01-24 05:16:26,normal
device_1,2025-01-24 08:10:02,normal
device_1,2025-01-24 15:40:56,normal
device_1,2025-01-24 19:22:01,normal
device_1,2025-01-24 10:16:41,normal
device_1,2025-01-24 09:49:43,normal
device_1,2025-01-24 15:04:12,normal
device_1,2025-01-24 13:38:55,normal
device_1,2025-01-24 14:07:49,normal
device_1,2025-01-24 08:03:59,normal
device_1,2025-01-24 11:39:54,normal
device_1,2025-01-24 11:05:44,normal
device_1,2025-01-24 04:10:23,normal
device_1,2025-01-24 13:24:18,normal
device_1,2025-01-24 04:12:54,normal
device_1,2025-01-24 17:29:01,normal
device_1,2025-01-24 14:48:16,normal
device_1,2025-01-24 11:19:10,normal
device_1,2025-01-24 15:02:21,normal
device_1,2025-01-24 16:02:28,normal
device_1,2025-01-24 11:47:11,normal
device_1,2025-01-24 08:07:49,normal
device_1,2025-01-24 07:08:19,normal
device_1,2025-01-24 16:11:27,normal
device_1,2025-01-24 09:11:32,normal
device_1,2025-01-24 09:18:42,normal
device_1,2025-01-24 13:01:03,normal
device_1,2025-01-24 07:24:27,normal
device_1,2025-01-24 15:52:51,normal
device_1,2025-01-24 11:30:55,normal
device_1,2025-01-24 15:12:15,normal
device_1,2025-01-24 04:45:16,normal
device_1,2025-01-24 19:47:35,normal
device_1,2025-01-24 14:28:41,normal
device_1,2025-01-24 12:46:48,normal
device_1,2025-01-24 05:03:19,normal
device_1,2025-01-24 02:10:46,normal
device_1,2025-01-24 18:59:18,normal
device_1,2025-01-24 22:33:30,normal
device_1,2025-01-24 10:13:00,normal
device_1,2025-01-24 14:15:49,normal
device_1,2025-01-24 08:33:06,normal
device_1,2025-01-24 14:44:58,normal
device_1,2025-01-24 15:38:22,normal
device_1,2025-01-24 09:05:05,normal
device_1,2025-01-24 10:40:02,normal
device_1,2025-01-24 09:58:06,normal
device_1,2025-01-24 09:36:30,normal
device_1,2025-01-24 11:25:11,normal
device_1,2025-01-24 03:46:44,normal
device_1,2025-01-24 07:09:40,normal
device_1,2025-01-24 23:26:16,normal
device_1,2025-01-24 15:57:13,normal
device_1,2025-01-24 17:36:20,normal
device_1,2025-01-24 19:57:28,normal
device_1,2025-01-24 16:33:05,normal
device_1,2025-01-24 13:07:29,normal
device_1,2025-01-24 12:20:04,normal
device_1,2025-01-24 11:04:23,normal
device_1,2025-01-24 16:57:10,normal
device_1,2025-01-24 03:01:17,normal
device_1,2025-01-24 09:56:44,normal
device_1,2025-01-24 05:09:27,normal
device_1,2025-01-24 14:20:59,normal
device_1,2025-01-24 14:38:44,normal
device_1,2025-01-24 12:44:35,normal
device_1,2025-01-24 09:26:09,normal
device_1,2025-01-24 11:51:23,normal
device_1,2025-01-24 11:05:04,normal
device_1,2025-01-24 03:02:25,normal
device_1,2025-01-24 15:27:48,normal
device_1,2025-01-24 11:13:22,normal
device_1,2025-01-24 12:28:50,normal
device_1,2025-01-24 07:53:17,normal
device_1,2025-01-24 06:37:01,normal
device_1,2025-01-24 07:11:40,normal
device_1,2025-01-24 16:25:49,normal
device_1,2025-01-24 05:35:00,normal
device_1,2025-01-24 02:58:19,normal
device_1,2025-01-24 11:04:42,normal
device_1,2025-01-24 11:33:28,normal
device_2,2025-01-24 00:00:19,exponential
device_2,2025-01-24 00:23:12,exponential
device_2,2025-01-24 00:43:45,exponential
device_2,2025-01-24 00:54:25,exponential
device_2,2025-01-24 00:57:12,exponential
device_2,2025-01-24 00:57:15,exponential
device_2,2025-01-24 01:01:03,exponential
device_2,2025-01-24 01:08:41,exponential
device_2,2025-01-24 01:21:51,exponential
device_2,2025-01-24 01:36:57,exponential
device_2,2025-01-24 01:40:24,exponential
device_2,2025-01-24 01:59:59,exponential
device_2,2025-01-24 02:04:23,exponential
device_2,2025-01-24 02:09:37,exponential
device_2,2025-01-24 02:11:01,exponential
device_2,2025-01-24 02:29:27,exponential
device_2,2025-01-24 02:36:53,exponential
device_2,2025-01-24 02:47:42,exponential
device_2,2025-01-24 02:55:51,exponential
device_2,2025-01-24 02:58:23,exponential
device_2,2025-01-24 03:20:43,exponential
device_2,2025-01-24 03:34:59,exponential
device_2,2025-01-24 03:39:20,exponential
device_2,2025-01-24 03:43:26,exponential
device_2,2025-01-24 03:48:23,exponential
device_2,2025-01-24 04:10:42,exponential
device_2,2025-01-24 04:11:15,exponential
device_2,2025-01-24 04:17:18,exponential
device_2,2025-01-24 04:17:48,exponential
device_2,2025-01-24 04:26:37,exponential
device_2,2025-01-24 04:38:55,exponential
device_2,2025-01-24 04:49:48,exponential
device_2,2025-01-24 05:05:46,exponential
device_2,2025-01-24 05:16:11,exponential
device_2,2025-01-24 05:21:41,exponential
device_2,2025-01-24 05:40:21,exponential
device_2,2025-01-24 05:46:06,exponential
